Model,Dataset,Metric,Value
RF,Training,Sensitivity,0.953 (0.935-0.966)
RF,Training,Specificity,0.828 (0.800-0.853)
RF,Training,PPV,0.566 (0.531-0.601)
RF,Training,NPV,0.987 (0.976-0.993)
RF,Training,Accuracy,0.852 (0.825-0.875)
RF,Training,F1,0.710 (0.677-0.741)
RF,Training,Precision,0.566 (0.531-0.601)
RF,Training,Recall,0.953 (0.935-0.966)
RF,Training,AUC,0.954 (0.939-0.968)
RF,Training,Optimal_Threshold,0.437759
RF,Internal Validation,Sensitivity,0.855 (0.813-0.889)
RF,Internal Validation,Specificity,0.778 (0.730-0.819)
RF,Internal Validation,PPV,0.469 (0.416-0.523)
RF,Internal Validation,NPV,0.959 (0.932-0.976)
RF,Internal Validation,Accuracy,0.792 (0.745-0.832)
RF,Internal Validation,F1,0.606 (0.552-0.657)
RF,Internal Validation,Precision,0.469 (0.416-0.523)
RF,Internal Validation,Recall,0.855 (0.813-0.889)
RF,Internal Validation,AUC,0.909 (0.871-0.940)
RF,Internal Validation,Optimal_Threshold,0.437759
RF,External Validation,Sensitivity,0.561 (0.515-0.606)
RF,External Validation,Specificity,0.886 (0.854-0.912)
RF,External Validation,PPV,0.416 (0.371-0.461)
RF,External Validation,NPV,0.934 (0.907-0.953)
RF,External Validation,Accuracy,0.845 (0.809-0.876)
RF,External Validation,F1,0.478 (0.432-0.524)
RF,External Validation,Precision,0.416 (0.371-0.461)
RF,External Validation,Recall,0.561 (0.515-0.606)
RF,External Validation,AUC,0.860 (0.808-0.908)
RF,External Validation,Optimal_Threshold,0.437759
LR,Training,Sensitivity,0.912 (0.890-0.930)
LR,Training,Specificity,0.879 (0.854-0.900)
LR,Training,PPV,0.640 (0.605-0.673)
LR,Training,NPV,0.977 (0.964-0.985)
LR,Training,Accuracy,0.885 (0.861-0.906)
LR,Training,F1,0.752 (0.721-0.781)
LR,Training,Precision,0.640 (0.605-0.673)
LR,Training,Recall,0.912 (0.890-0.930)
LR,Training,AUC,0.949 (0.931-0.964)
LR,Training,Optimal_Threshold,0.483737
LR,Internal Validation,Sensitivity,0.839 (0.795-0.874)
LR,Internal Validation,Specificity,0.856 (0.814-0.889)
LR,Internal Validation,PPV,0.571 (0.518-0.624)
LR,Internal Validation,NPV,0.959 (0.931-0.975)
LR,Internal Validation,Accuracy,0.852 (0.810-0.887)
LR,Internal Validation,F1,0.680 (0.628-0.728)
LR,Internal Validation,Precision,0.571 (0.518-0.624)
LR,Internal Validation,Recall,0.839 (0.795-0.874)
LR,Internal Validation,AUC,0.917 (0.874-0.952)
LR,Internal Validation,Optimal_Threshold,0.483737
LR,External Validation,Sensitivity,0.561 (0.515-0.606)
LR,External Validation,Specificity,0.917 (0.888-0.939)
LR,External Validation,PPV,0.492 (0.447-0.538)
LR,External Validation,NPV,0.936 (0.909-0.955)
LR,External Validation,Accuracy,0.872 (0.838-0.900)
LR,External Validation,F1,0.525 (0.479-0.570)
LR,External Validation,Precision,0.492 (0.447-0.538)
LR,External Validation,Recall,0.561 (0.515-0.606)
LR,External Validation,AUC,0.792 (0.713-0.865)
LR,External Validation,Optimal_Threshold,0.483737
GBC,Training,Sensitivity,0.973 (0.959-0.982)
GBC,Training,Specificity,0.949 (0.931-0.962)
GBC,Training,PPV,0.818 (0.789-0.844)
GBC,Training,NPV,0.993 (0.985-0.997)
GBC,Training,Accuracy,0.954 (0.936-0.966)
GBC,Training,F1,0.889 (0.865-0.909)
GBC,Training,Precision,0.818 (0.789-0.844)
GBC,Training,Recall,0.973 (0.959-0.982)
GBC,Training,AUC,0.994 (0.990-0.997)
GBC,Training,Optimal_Threshold,0.248608
GBC,Internal Validation,Sensitivity,0.823 (0.778-0.860)
GBC,Internal Validation,Specificity,0.893 (0.855-0.922)
GBC,Internal Validation,PPV,0.637 (0.584-0.687)
GBC,Internal Validation,NPV,0.956 (0.929-0.974)
GBC,Internal Validation,Accuracy,0.880 (0.840-0.910)
GBC,Internal Validation,F1,0.718 (0.668-0.764)
GBC,Internal Validation,Precision,0.637 (0.584-0.687)
GBC,Internal Validation,Recall,0.823 (0.778-0.860)
GBC,Internal Validation,AUC,0.946 (0.917-0.969)
GBC,Internal Validation,Optimal_Threshold,0.248608
GBC,External Validation,Sensitivity,0.474 (0.428-0.520)
GBC,External Validation,Specificity,0.939 (0.914-0.958)
GBC,External Validation,PPV,0.529 (0.483-0.575)
GBC,External Validation,NPV,0.925 (0.897-0.946)
GBC,External Validation,Accuracy,0.881 (0.848-0.907)
GBC,External Validation,F1,0.500 (0.454-0.546)
GBC,External Validation,Precision,0.529 (0.483-0.575)
GBC,External Validation,Recall,0.474 (0.428-0.520)
GBC,External Validation,AUC,0.857 (0.803-0.908)
GBC,External Validation,Optimal_Threshold,0.248608
ABC,Training,Sensitivity,0.905 (0.883-0.924)
ABC,Training,Specificity,0.858 (0.832-0.881)
ABC,Training,PPV,0.601 (0.566-0.635)
ABC,Training,NPV,0.975 (0.961-0.984)
ABC,Training,Accuracy,0.867 (0.842-0.889)
ABC,Training,F1,0.722 (0.690-0.753)
ABC,Training,Precision,0.601 (0.566-0.635)
ABC,Training,Recall,0.905 (0.883-0.924)
ABC,Training,AUC,0.941 (0.923-0.957)
ABC,Training,Optimal_Threshold,0.402545
ABC,Internal Validation,Sensitivity,0.871 (0.831-0.903)
ABC,Internal Validation,Specificity,0.822 (0.777-0.860)
ABC,Internal Validation,PPV,0.529 (0.476-0.582)
ABC,Internal Validation,NPV,0.965 (0.940-0.980)
ABC,Internal Validation,Accuracy,0.831 (0.787-0.868)
ABC,Internal Validation,F1,0.659 (0.606-0.707)
ABC,Internal Validation,Precision,0.529 (0.476-0.582)
ABC,Internal Validation,Recall,0.871 (0.831-0.903)
ABC,Internal Validation,AUC,0.905 (0.865-0.938)
ABC,Internal Validation,Optimal_Threshold,0.402545
ABC,External Validation,Sensitivity,0.632 (0.586-0.675)
ABC,External Validation,Specificity,0.881 (0.848-0.908)
ABC,External Validation,PPV,0.434 (0.389-0.480)
ABC,External Validation,NPV,0.943 (0.918-0.961)
ABC,External Validation,Accuracy,0.850 (0.814-0.880)
ABC,External Validation,F1,0.514 (0.468-0.560)
ABC,External Validation,Precision,0.434 (0.389-0.480)
ABC,External Validation,Recall,0.632 (0.586-0.675)
ABC,External Validation,AUC,0.838 (0.775-0.892)
ABC,External Validation,Optimal_Threshold,0.402545
XGB,Training,Sensitivity,0.959 (0.943-0.971)
XGB,Training,Specificity,0.873 (0.847-0.894)
XGB,Training,PPV,0.640 (0.605-0.673)
XGB,Training,NPV,0.989 (0.979-0.994)
XGB,Training,Accuracy,0.889 (0.865-0.909)
XGB,Training,F1,0.768 (0.737-0.796)
XGB,Training,Precision,0.640 (0.605-0.673)
XGB,Training,Recall,0.959 (0.943-0.971)
XGB,Training,AUC,0.972 (0.960-0.981)
XGB,Training,Optimal_Threshold,0.481208
XGB,Internal Validation,Sensitivity,0.919 (0.885-0.944)
XGB,Internal Validation,Specificity,0.859 (0.818-0.893)
XGB,Internal Validation,PPV,0.600 (0.546-0.651)
XGB,Internal Validation,NPV,0.979 (0.957-0.990)
XGB,Internal Validation,Accuracy,0.870 (0.830-0.902)
XGB,Internal Validation,F1,0.726 (0.676-0.771)
XGB,Internal Validation,Precision,0.600 (0.546-0.651)
XGB,Internal Validation,Recall,0.919 (0.885-0.944)
XGB,Internal Validation,AUC,0.938 (0.904-0.964)
XGB,Internal Validation,Optimal_Threshold,0.481208
XGB,External Validation,Sensitivity,0.544 (0.498-0.589)
XGB,External Validation,Specificity,0.907 (0.876-0.930)
XGB,External Validation,PPV,0.456 (0.411-0.502)
XGB,External Validation,NPV,0.932 (0.906-0.952)
XGB,External Validation,Accuracy,0.861 (0.826-0.890)
XGB,External Validation,F1,0.496 (0.450-0.542)
XGB,External Validation,Precision,0.456 (0.411-0.502)
XGB,External Validation,Recall,0.544 (0.498-0.589)
XGB,External Validation,AUC,0.852 (0.795-0.906)
XGB,External Validation,Optimal_Threshold,0.481208
LGB,Training,Sensitivity,0.980 (0.967-0.988)
LGB,Training,Specificity,0.903 (0.880-0.922)
LGB,Training,PPV,0.704 (0.671-0.735)
LGB,Training,NPV,0.995 (0.987-0.998)
LGB,Training,Accuracy,0.918 (0.896-0.935)
LGB,Training,F1,0.819 (0.791-0.845)
LGB,Training,Precision,0.704 (0.671-0.735)
LGB,Training,Recall,0.980 (0.967-0.988)
LGB,Training,AUC,0.985 (0.977-0.991)
LGB,Training,Optimal_Threshold,0.50255
LGB,Internal Validation,Sensitivity,0.887 (0.849-0.917)
LGB,Internal Validation,Specificity,0.881 (0.842-0.912)
LGB,Internal Validation,PPV,0.632 (0.579-0.682)
LGB,Internal Validation,NPV,0.971 (0.947-0.985)
LGB,Internal Validation,Accuracy,0.883 (0.843-0.913)
LGB,Internal Validation,F1,0.738 (0.688-0.783)
LGB,Internal Validation,Precision,0.632 (0.579-0.682)
LGB,Internal Validation,Recall,0.887 (0.849-0.917)
LGB,Internal Validation,AUC,0.954 (0.930-0.974)
LGB,Internal Validation,Optimal_Threshold,0.50255
LGB,External Validation,Sensitivity,0.491 (0.445-0.537)
LGB,External Validation,Specificity,0.932 (0.905-0.952)
LGB,External Validation,PPV,0.509 (0.463-0.555)
LGB,External Validation,NPV,0.927 (0.899-0.948)
LGB,External Validation,Accuracy,0.876 (0.843-0.904)
LGB,External Validation,F1,0.500 (0.454-0.546)
LGB,External Validation,Precision,0.509 (0.463-0.555)
LGB,External Validation,Recall,0.491 (0.445-0.537)
LGB,External Validation,AUC,0.830 (0.762-0.891)
LGB,External Validation,Optimal_Threshold,0.50255
